address,biz_name,class_desc_cat,class_desc_detail,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1 E MAIN ST  ,"BRIDGER KITCHEN INTERIORS, INC",RETAIL,FURNITURE/HOME INTERIORS,2002-01-02,2003-01-31,2004-02-06,2005-01-03,2006-02-06,2006-12-26,2008-01-03,2009-01-07,2010-01-06,2010-12-30,,,,,
1 E MAIN ST  ,GIRLS OUTDOORS,RETAIL,CLOTHING AND/OR SHOES,,,,,2006-04-18,2007-02-06,2008-02-07,2009-02-09,2010-02-08,2011-01-13,2012-02-10,2013-01-11,2013-12-31,2015-01-21,2016-02-18
1 E MAIN ST  ,PLUM DESIGN LAB LLC,SERVICE,OTHER,,,,,,,,,,,,,,,2016-03-10
10 E MAIN ST  ,BETTER BODY FITNESS OF MT INC,RETAIL,OTHER,,,,2006-01-12,2006-01-17,2006-12-26,2008-01-02,2008-12-24,,,,,,,
10 E MAIN ST  ,"BOZEMAN CAMERA & REPAIR,INC",RETAIL,ELECTRONIC/ELECTRIC SALES,,,,,,,,,,,,,2014-02-07,2014-12-10,2015-12-21
10 E MAIN ST  ,"BOZEMAN CAMERA & REPAIR,INC",SERVICE,MAINTENANCE/REPAIR SVCS,2002-01-02,2003-01-16,2003-12-17,2004-12-17,2005-12-28,2007-01-02,2008-01-09,2008-12-23,2010-01-28,2010-12-30,2011-12-21,2012-12-18,,,
10 E MAIN ST  ,COSMICA INC,RETAIL,CLOTHING AND/OR SHOES,,,,,,,2008-08-19,2008-12-30,2009-12-22,2011-12-01,2012-01-06,2013-01-02,2013-12-18,2015-01-05,2015-12-18
10 E MAIN ST  ,ELIZABETH & CO,RETAIL,CLOTHING AND/OR SHOES,2002-10-31,2003-01-24,2003-12-17,2004-12-17,2006-01-10,2007-08-06,2008-02-26,2009-02-23,2010-04-16,,,,,,
1006 W MAIN ST  ,BOZEMAN URGENT CARE CENTER,SERVICE,HEALTH CARE,2002-02-07,2003-01-22,2013-03-21,,,,,,,,,,,,
1006 W MAIN ST  ,MOUNTAIN SPRINGS RANCH N ASSOC,CONTRACTORS,LAWN CARE & LANDSCAPING,,2003-10-14,2003-12-23,2004-12-20,2006-01-17,2007-01-22,2007-12-31,2008-12-22,2010-01-04,2011-01-10,2011-12-30,2013-01-02,2013-12-27,2014-12-23,2015-12-24
1007 E MAIN ST  ,"AVITEL, INC",RETAIL,ELECTRONIC/ELECTRIC SALES,2002-01-23,2003-02-14,2004-01-26,2005-01-04,2006-04-04,2006-12-26,2007-12-20,2008-12-23,2009-12-23,2010-12-28,2011-12-20,2012-12-19,2013-12-16,2014-12-15,2015-12-21
1007 W MAIN ST  ,FARMSTEAD PIZZA LLC DBA RED TRACTOR PIZZA,FOOD SERVICE,RESTAURANT,,,,,,,,,,,,,2014-01-21,2014-12-29,2016-01-07
1007 W MAIN ST  ,ON THE RISE,RETAIL,SPECIALTY FOOD,2002-02-21,2003-01-15,2004-01-06,2005-01-03,2006-02-06,2007-01-22,2007-12-27,2009-02-26,,,,,,,
1007 W MAIN ST  ,SOLA PRESTA!,FOOD SERVICE,RESTAURANT,,,,,,,,,,,,2013-02-28,,,
101 E MAIN ST UNIT 1,THINKONE CONSTRUCTION MGMT,CONTRACTORS,GENERAL,,,,,,,,,2010-06-08,2011-02-01,2011-12-28,2012-12-28,2013-12-13,2014-12-19,2015-12-24
101 E MAIN ST UNIT 2,COPPER LLC,FOOD SERVICE,RESTAURANT,,,,,,,,,,,,2013-05-16,2013-12-16,2015-10-08,2015-12-15
101 E MAIN ST UNIT A,FORTUNE PERSONNEL CONSULTANT,SERVICE,CONSULTING,2002-02-04,2003-02-10,2004-01-16,2005-02-24,2006-01-10,2007-01-16,2008-01-18,2009-01-15,,,,,,,
101 E MAIN ST UNIT A,GUADALAJARA MEXICAN RESTAURANT,FOOD SERVICE,RESTAURANT,,,,2005-06-22,2006-01-05,,,,,,,,,,
101 E MAIN ST UNIT A,LANGLAS & ASSOC-INACTIVE,CONTRACTORS,GENERAL,,,,2006-01-18,2006-05-09,,,,,,,,,,
101 E MAIN ST UNIT A,LOOIE'S DOWN UNDER/JADRA'S,FOOD SERVICE,RESTAURANT,2002-02-19,2003-02-10,2004-02-24,2005-02-25,2006-02-21,2007-02-01,2008-02-22,2009-02-19,2010-02-22,,,,,,
101 E MAIN ST UNIT A,MERIDIAN,RETAIL,CLOTHING AND/OR SHOES,2004-04-30,2004-04-30,2004-01-06,2004-12-22,2005-12-29,2007-02-02,2007-12-24,2009-01-06,2010-01-04,2010-12-30,2011-12-20,2012-12-24,2013-12-24,2014-12-15,2016-01-30
101 E MAIN ST UNIT A,RAIN,FOOD SERVICE,RESTAURANT,2002-02-19,2003-02-10,,,,,,,,,,,,,
101 E MAIN ST UNIT A,SWEET CHILI ASIAN BISTRO LLC,FOOD SERVICE,RESTAURANT,,,,,,,,,2010-06-14,2010-12-23,2011-12-19,2012-12-21,2013-12-16,2014-12-11,2015-12-16
