street,street_num,address,unit,location_id,biz_name,class_desc_cat,class_desc_detail,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
 ACCOLA,207,207  ACCOLA DR, ,39360,CRYSTAL RIVER CUSTOM,SERVICE,INTERIOR DESIGN,,2003-09-12,2006-12-18,2006-12-18,2006-12-20,2007-02-02,2008-01-02,2009-02-17,2010-02-24,2011-01-10,2012-02-10,2013-02-20,2014-02-18,2015-02-17,2016-02-25
 ACCOLA,207,207  ACCOLA DR, ,39360,CRYSTAL SEA SOUND,SERVICE,OTHER,,,,,2006-11-13,,2008-06-09,2009-02-04,2010-02-24,2011-02-10,,,,,
 ACCOLA,207,207  ACCOLA DR, ,39360,TREE OF LIFE,SERVICE,OTHER,,,,,2006-11-15,2007-01-22,2008-01-07,2009-02-26,,,,,,,
 ACCOLA,207,207  ACCOLA DR, ,39360,UNLOCKED DESIGNS,SERVICE,OTHER,,,,,,,,,,2011-04-01,2012-02-15,,,,
 ACCOLA,210,210  ACCOLA DR, ,39370,"DUMBROVSKA, RADKA",SERVICE,MARKETING & ADVERTISING,,,,,,,,,2010-03-03,2011-01-03,2011-12-27,2012-12-24,2014-01-06,2014-12-26,2016-01-04
 ACCOLA,215,215  ACCOLA DR, ,39260,ECO MONTANA,SERVICE,OTHER,,,,,,,,,,,,2013-04-15,2014-01-21,2015-01-27,
 ACCOLA,215,215  ACCOLA DR, ,39260,SDI,CONTRACTORS,HANDY PERSONS,,,,2005-09-29,2006-04-18,,,,,,,,,,
 ACCOLA,216,216  ACCOLA DR, ,39250,WHOLE LIFE FAMILIES,SERVICE,CONSULTING,,,,,,,,,,,2012-03-05,2013-06-11,2014-01-10,,
 ACCOLA,303,303  ACCOLA DR, ,39270,PIK UP!,SERVICE,CLEANING SERVICE,,,,,,,,,,2011-07-08,2012-02-21,,,,
 ALDER CREEK,1096,1096  ALDER CREEK DR, ,172720,COPPER HAMMER CONSTRUCTION,CONTRACTORS,GENERAL,,,2004-04-13,2005-01-31,2006-01-19,2007-02-12,2008-01-18,2009-01-12,,,,,2014-07-17,,
 ALEXANDER,4433,4433  ALEXANDER ST, ,116240,CAPSTONE CLEANING,SERVICE,CLEANING SERVICE,,,2004-07-27,,,,,,,,,,,,
 ALEXANDER,4442,4442  ALEXANDER ST, ,116000,JACKPINE INC DBA OXIFRESH OF MONTANA,SERVICE,CLEANING SERVICE,,,,,,,2008-08-12,2009-01-29,2010-01-13,2011-01-11,,,,,
 ALEXANDER,4442,4442  ALEXANDER ST, ,116000,SINGLETRACK INC,RETAIL,OTHER,,,,,,,,,,,2012-05-21,,,,
 ALEXANDER,4475,4475  ALEXANDER ST, ,116220,KIRCHHOFF CONSTRUCTION,CONTRACTORS,GENERAL,,,,,,2007-10-26,2008-03-31,,2010-03-15,2011-02-25,2012-03-06,2013-01-11,2014-02-28,2014-12-12,2015-12-16
 ALEXANDER,4512,4512  ALEXANDER ST, ,116040,GREEN PAWS LLC,SERVICE,OTHER,,,,,,,,,,,,,,2015-12-10,
 ALEXANDER,4512,4512  ALEXANDER ST, ,116040,"SANFORD RED, LLC",RENTALS,VACATION RENTALS,,,,,,,,,,,,,,,2016-04-07
 ALEXANDER,4515,4515  ALEXANDER ST, ,116190,PRIME ROOFING,CONTRACTORS,ROOFING,,,,,,,,,2010-11-17,2011-07-14,,,,,
 ALEXANDER,4531,4531  ALEXANDER ST, ,116180,SPRUNG~ ARTWORK WITH A TWIST,SERVICE,OTHER,,,2004-11-09,2005-01-07,2006-03-20,2007-01-05,2008-01-18,2009-01-23,2009-12-29,2011-01-10,2012-01-20,2013-01-09,2014-01-08,2015-01-05,2015-12-18
