biz_name,license_num,control_num,resp_dept_code,resp_dept_descr,class_code,class_descr,fiscal_year,license_status,code_descr,status_date,application_date,issue_date,licen_exp_date,renew_date,location_id,street_num,street_pre_qual,street_dir_code,street_name,street_suffix,street_post_qual,street_apt_num
ALBERTSON'S FOOD CENTER #6,2796,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,2,1N,FIRST RENEWAL MAILED,2002-11-18,2002-01-01,2002-12-11,2002-12-31,,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,3,RN,RENEWED,2003-11-07,2002-12-17,2003-10-27,2003-12-31,2003-11-07,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,4,RN,RENEWED,2004-11-15,2003-11-07,2003-12-09,2004-12-31,2004-11-15,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,5,RN,RENEWED,2005-11-28,2004-11-15,2004-12-07,2005-12-31,2005-11-28,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,6,RN,RENEWED,2006-11-20,2005-11-28,2005-12-06,2006-12-31,2006-11-20,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,7,RN,RENEWED,2007-12-28,2006-11-20,2006-12-18,2007-12-31,2007-12-31,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,8,RN,RENEWED,2008-12-02,2007-12-31,2007-12-28,2008-12-31,2008-11-24,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,9,RN,RENEWED,2009-12-14,2008-11-24,2008-12-09,2009-12-31,2009-12-14,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,10,RN,RENEWED,2010-11-18,2009-12-14,2009-12-29,2010-12-31,2010-11-18,85030,200,,S,23RD,AVE,,
ALBERTSON'S FOOD CENTER #6,3019,1004,LL,LIQUOR LICENSE,B & W,LIQ - BEER AND WINE LICENSE,11,RN,RENEWED,2011-11-17,2010-11-18,2010-12-08,2011-12-31,2011-11-17,85030,200,,S,23RD,AVE,,
