street,street_num,address,unit,location_id,biz_name,class_desc_cat,class_desc_detail,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
E BABCOCK,106,106 E BABCOCK ST, ,5200,BOUNTIFUL TABLE CUSTOM CATERNG,FOOD SERVICE,CATERING,2002-01-03,2003-02-10,2003-12-24,2005-02-08,2006-02-01,2007-01-31,2008-01-23,2008-12-22,2009-12-22,2011-01-26,2011-12-20,2012-12-24,2013-12-23,2014-12-19,2015-12-23
E BABCOCK,106,106 E BABCOCK ST,UNIT C,211570,ENGINEERING INC DBA SANDERSON STEWART,SERVICE,OTHER,,,,,,,,,,,,,,2015-06-11,2016-01-20
E BABCOCK,234,234 E BABCOCK ST, ,2500,AFFORDABLE ACCOUNTING INC,SERVICE,FINANCIAL/INVESTMENT,2002-01-16,2003-12-17,2003-12-17,,,,,,,,,,,,
E BABCOCK,234,234 E BABCOCK ST, ,2500,BODIES IN MOTION THERAPEUTICS LLC,SERVICE,HEALTH CARE,,,,,,,,,,2011-11-30,,,,,
E BABCOCK,234,234 E BABCOCK ST, ,2500,MOUNTAIN YOGA,SERVICE,DANCE STUDIO,,,,,,,,,,,2012-05-02,2013-02-13,2013-12-30,2015-04-24,2016-02-17
E BABCOCK,234,234 E BABCOCK ST, ,2500,PERFECT 10 NAILS,RETAIL,BEAUTY & HEALTH,2002-01-02,2003-01-31,2003-12-29,2005-01-07,2005-12-28,2007-02-09,2008-03-03,2008-12-30,2010-02-01,2011-02-14,2012-01-18,2013-01-09,2014-01-24,2014-12-19,2016-03-22
E BABCOCK,234,234 E BABCOCK ST, ,2500,RELAXING REMEDIES MASSAGE,SERVICE,MASSAGE THERAPY,2002-02-22,,,,,,,,,,,,,,
E BABCOCK,234,234 E BABCOCK ST, ,2500,SALON SIMPATICO,SERVICE,HEALTH & BEAUTY,,,,,,,,,,,2011-12-19,,,2015-03-23,
E BABCOCK,234,234 E BABCOCK ST, ,2500,SEWING AND ALTERATIONS,SERVICE,SEWING/ALTERATIONS,2002-02-04,2003-01-24,2004-01-14,,,,,,,,,,,,
E BABCOCK,234,234 E BABCOCK ST, ,2500,SUN & MOON MONTANA,SERVICE,MASSAGE THERAPY,,2003-06-19,2004-01-02,2005-01-21,2006-01-03,2007-01-10,2007-12-18,2008-12-26,2009-12-21,2010-12-27,2012-01-04,2012-12-27,2014-01-02,2014-12-23,2015-12-21
E BABCOCK,316,316 E BABCOCK ST, ,2540,NOT SO NU2U! THRIFT OUTLET,RETAIL,CLOTHING AND/OR SHOES,,2003-11-06,,,,,,,,,,,,,
E BABCOCK,414,414 E BABCOCK ST, ,2220,"BOZEMAN BOWL, THE",FOOD SERVICE,RESTAURANT,2002-02-15,2003-01-31,2004-12-20,2005-01-03,2006-01-19,2007-01-04,2008-07-22,2009-01-13,2010-01-25,2011-02-10,2012-02-13,2013-02-07,2014-02-07,2015-01-21,2016-02-02
E BABCOCK,520,520 E BABCOCK ST, ,1740,INDIRA SPA & WELLNESS,SERVICE,HEALTH & BEAUTY,,,,,,,2009-03-04,2009-03-04,2010-03-11,2011-01-20,2012-02-15,2013-01-29,2014-03-05,2015-04-13,2016-02-16
E BABCOCK,520,520 E BABCOCK ST, ,1740,JOHN RIMI CUSTOM FINISHES,CONTRACTORS,PAINTING,,,,,,,2008-04-03,2009-02-13,2010-03-11,2011-02-15,2012-02-16,2013-06-27,,2015-06-11,2016-02-16
E BABCOCK,533,533 E BABCOCK ST,UNITS 1-10,870,THE PELLERIN COMPANY LLC,SERVICE,FINANCIAL/INVESTMENT,,,,,,,,,,,,,,,2016-03-02
E BABCOCK,541,541 E BABCOCK ST, ,850,EAST BABCOCK LLC,RENTALS,VACATION RENTALS,,,,,,,,,,,,,,2015-06-02,2016-01-06
E BABCOCK,541,541 E BABCOCK ST, ,850,SERVICE ADVENTURES INT'L LLC,SERVICE,OTHER,,,,,,,,,,2011-03-16,2011-12-30,2013-03-05,2013-12-19,2014-12-11,2016-01-06
E BABCOCK,548,548 E BABCOCK ST, ,880,FRANK'S GOURMET GRILL & DELI,FOOD SERVICE,CATERING,2002-05-31,2003-03-05,2004-02-09,2005-04-07,2008-08-14,2008-08-14,2008-04-04,2009-07-08,2010-03-08,2011-01-11,2011-12-20,2012-12-21,2013-12-19,2015-01-21,2015-12-18
E BABCOCK,548,548 E BABCOCK ST, ,880,SWEET THINGS,FOOD SERVICE,CATERING,,2003-05-15,2003-12-24,,,,,,,,,,,,
E BEALL,7,7 E BEALL ST, ,27050,"OFF THE BEATEN PATH,LLC",RETAIL,TRAVEL AGENCY,2002-01-24,2003-02-07,2004-01-28,2005-01-04,2006-02-13,2007-01-22,2008-01-04,2009-02-04,2010-01-28,2011-01-27,2012-02-15,2013-02-06,2014-01-14,2014-12-26,2016-01-25
E LAMME,108,108 E LAMME ST, ,96690,KOKOPELLI ARTS,SERVICE,CLEANING SERVICE,,,,,,,,,,,,,,2015-06-11,
E LAMME,114,114 E LAMME ST, ,30790,LAST BEST CHEFS,SERVICE,OTHER,,,,,,,,,2010-02-05,,,,,,
