,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BANKS,8.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0
BAR/LOUNGE,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
BROADCASTING,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
CONCESSION STANDS,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CONTRACTORS,7.0,8.0,12.0,17.0,14.0,14.0,14.0,14.0,16.0,19.0,15.0,17.0,15.0,19.0,16.0
COUNSELORS,5.0,8.0,8.0,6.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
COURT REPORTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EDUCATIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMPLOYMENT AGENCIES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENTERTAINMENT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FOOD SERVICE,37.0,38.0,38.0,38.0,40.0,40.0,41.0,42.0,40.0,45.0,44.0,50.0,51.0,52.0,46.0
FUNERAL HOMES,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAPHIC DESIGN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0
HOME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOTELS/MOTELS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0
ITINERANT VENDORS,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LAUNDRY/DRY CLEAN,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MANUFACTURING NON-HAZARDOUS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,7.0
MOVIE THEATER,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAWN BROKERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PHOTOGRAPHY/PROCESSING,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
POOL/GAMING,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFESSIONAL/OCCUPATIONAL,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,9.0
PROPERTY MANAGERS/AGENCIES,8.0,9.0,9.0,10.0,9.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
PUBLICATIONS (NEWSPAPERS/MAGAZINES),1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RENTALS,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RETAIL,129.0,126.0,123.0,122.0,121.0,119.0,120.0,116.0,115.0,112.0,105.0,103.0,107.0,107.0,100.0
SALES,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
SERVICE,82.0,86.0,92.0,84.0,92.0,82.0,86.0,96.0,106.0,99.0,97.0,92.0,93.0,92.0,88.0
SEXUALLY ORIENTED BUSINESS,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRANSIENT MERCHANTS,0.0,5.0,6.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
WHOLESALE,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
